TIPO DE SUCURSAL,NOMBRE DEL PRODUCTO,CLAVE DEL PRODUCTO,CATEGORIA (LINEA) DE PRODUCTO,UNIDAD DE MEDIDA (UNIDAD DE VENTA),¿SE VENDE EN EL PUNTO DE VENTA?,CODIGO DE BARRAS,DESCRIPCION LARGA,Peso ,Volumen ,DIAS PARA ENTREGARLO AL CLIENTE,METODO DE ABASTECIMIENTO,Seguimiento (Sin seguimiento/Lote/Serie,FECHA DE CADUCIDAD,DIAS ANTES DE CADUCAR,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Clave SAT ,Clave unidad SAT,DIAS DE GARANTIA,% COMISION VENDEDOR,% COMISION PARA REFERIDOS,Stock Optimo DE ESTE TIPO DE SUCURSAL,Punto de reorden DE ESTE TIPO DE SUCURSAL,Multiple de re-orden DE ESTE TIPO DE SUCURSAL,Precio del producto en este tipo de surcursal,Unidad de COMPRA,Costo promedio ,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuanto cuesta el producto en puntos?,TASA IVA,TASA IEPS,Almacen donde se ingresa automaticamente,Nombre del laboratorio,Nombre de la sustancia activa,NUMERO DE REGISTRO DE SENASICA,DEPARTAMENTO  ,TIPO DE CONTROL ,MARCA
,TRANSPORTADORA SUAVE CHICA 4PATAS,4PATCH,4PATAS,UNIDAD,Si,,TRANSPORTADORA SUAVE CHICA 4PATAS,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131603,H87,7,,0.05,,,,301.724138,UNIDAD,224.137931,,,16,,,,,,ACCESORIOS,SIN CONTROL,
,TRANSPORTADORA SUAVE EXTRA CHICA 4PATAS,4PAXCH,4PATAS,UNIDAD,Si,,TRANSPORTADORA SUAVE EXTRA CHICA 4PATAS,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131603,H87,7,,0.05,,,,202.586207,UNIDAD,224.137931,,,16,,,,,,ACCESORIOS,SIN CONTROL,
,TRANSPORTADORA SUAVE EXTRAGRANDE 4PATAS,4PATEXG,4PATAS,UNIDAD,Si,,TRANSPORTADORA SUAVE EXTRAGRANDE 4PATAS,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131603,H87,7,,0.05,,,,900.862069,UNIDAD,224.137931,,,16,,,,,,ACCESORIOS,SIN CONTROL,
,TRANSPORTADORA SUAVE GRANDE 4PATAS,4PATGDE,4PATAS,UNIDAD,Si,,TRANSPORTADORA SUAVE GRANDE 4PATAS,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131603,H87,7,,0.05,,,,702.586207,UNIDAD,224.137931,,,16,,,,,,ACCESORIOS,SIN CONTROL,
,TRANSPORTADORA SUAVE MEDIANA 4PATAS,4PATMED,4PATAS,UNIDAD,Si,,TRANSPORTADORA SUAVE MEDIANA 4PATAS,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131603,H87,7,,0.05,,,,500.000000,UNIDAD,224.137931,,,16,,,,,,ACCESORIOS,SIN CONTROL,
,HEMATOLOGY ENZYMATIC CLEANER FINAL ASSY,ABAHEMAENZ,ABAX,UNIDAD,Si,,HEMATOLOGY ENZYMATIC CLEANER FINAL ASSY,0.000,0.000,,,Lote,si,30,15,1,Almacenable,41116120,H87,7,,0.05,,,,517.241400,UNIDAD,436.000000,,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
,MICROTUBO LITIO/HEPARINA 1.3 ML,ABAMTHEPARINA,ABAX,UNIDAD,Si,,MICROTUBO LITIO/HEPARINA 1.3 ML,0.000,0.000,,,Lote,si,30,15,1,Almacenable,41116120,H87,7,,0.05,,,,237.069000,UNIDAD,16.369505,,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
,PUNTA P/PIPETA DESECHABLE 200McL (250PZ),ABAPUNPIP,ABAX,UNIDAD,Si,,PUNTA P/PIPETA DESECHABLE 200McL (250PZ),0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,41121600,H87,7,,0.05,,,,775.862100,UNIDAD,0.184000,,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
,VETSCAN HEMACLEAN KIT 6 TUBES,ABAVETHEM,ABAX,UNIDAD,Si,,VETSCAN HEMACLEAN KIT 6 TUBES,0.000,0.000,,,Lote,si,30,15,1,Almacenable,41116104,H87,7,,0.05,,,,775.862100,UNIDAD,508.005000,,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
,VETSCAN REAGENT HEMOGRAMA,ABAROTHG,ABAX,UNIDAD,Si,,VETSCAN REAGENT HEMOGRAMA,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42172017,H87,7,,0.05,,,,"10,991.379300",UNIDAD,"9,775.341944",,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
