Descripción,Linea de producto,Clave de producto,Precio Compra promedio,Unidad de medida,Clave de producto SAT,Código de barras,Descripción larga,Descripción para proveedores,Peso,Volumen,Es un gasto indirecto,Seguimiento ,Tipo ,Punto de reorden,Stock optimo,Multiple,Almacen de materia prima ,¿Se debe de revisar antes de entrar a almacen?
Escoba,Escoba,L0001,$63.00,Unidades,47131604,,Escoba,,,1,Si,Sin seguimiento,Consumible,90 dias,,,,
Recogedor,metal,L0002,$100.00,Unidades,47131611,,Recojedor,,,1,Si,Sin seguimiento,Consumible,180 dias,,,,
jerga,1mt con orillas,L0003,$57.00,Unidades,47131501,,Trapo para limpiar pisos,,,1,Si,Sin seguimiento,Consumible,90,,,,
Trapos,limpieza,L0004,$15.00,Unidades,47131501,,Trapos para sacudir y limpiar,,,5,Si,Sin seguimiento,Consumible,30,,,,
windex,vidrios,L0005,$54.00,L,12163800,,limpia vidrios y escritorios,,,1,Si,,Consumible,30,,,,
jabón trastes,liquido,L0006,$45.00,L,47131810,,jabón trastes,,,1,Si,,Consumible,30,,,,
jabón polvo,roma,L0007,$25.00,Kg,47131811,,jabón polvo,,,1,Si,,Consumible,30,,,,
Esponja,lava trastes,L0008,$22.00,L,47131603,,Esponja para lavar platos y tazas,,,1,Si,,Consumible,30,,,,
Cloro,liquido,L0009,$18.00,L,12141901,,desinfectante de utensilios,,,1,Si,,Consumible,30,,,,
Cloro,en spray,L0010,$59.00,L,12141901,,disinfectante de baño,,,1,Si,,Consumible,30,,,,
Fabuloso,2 litros,L0011,$42.00,L,12163800,,Aromatizante de pisos ,,,1,Si,,Consumible,90,,,,
Patillas para baño,1 paquete,L0012,$43.00,Unidades,47131816,,Patillas para baño,,,1,Si,,Consumible,30,,,,
Bolsa chica,10 bolsas,L0013,$32.00,Unidades,24111503,,Bolsa chica para cestos de basura,,,10,Si,,Consumible,15,,,,
Bolsa mediana,10 bolsas,L0014,$32.00,Unidades,24111503,,Bolsa mediana para basura,,,10,Si,,Consumible,15,,,,
Papel Higienico,32 rollos,L0015,$174.00,Unidades,14111704,,Papel Higienico,,,32,Si,,Consumible,30,,,,
Desodorante ambiental,1 fransco,L0016,$88.00,Unidades,47131816,,,,,,,,,,,,,
Café,Café Colibrí,D002,$210.00,kilo,50201706,,Grano para preparación,,,,Si,,Consumible,30,,,,
azucar,Estándar,D003,$22.00,kilo,50161814,,Endulzante natural,,,,Si,,Consumible,30,,,,
Filtros cafetera,,D004,$45.00,Unidades,23181801,,cafetera estandar,,,,Si,,Consumible,180,,,,
Galletas,Varias,D005,$40.00,Unidades,50181905,,alimento,,,,Si,,Consumible,5,,,,
Garrafón Agua,E pura,D006,$42.00,Unidades,50202301,,alimento,,,,Si,,Consumible,8,,,,
Botellitas de Agua,E pura,D007,$106.00,paquete,50202301,,alimento,,,,Si,,Consumible,30,,,,
Refrescos,Coca cola,D008,$17.00,Unidades,50202306,,alimento,,,,Si,,Consumible,30,,,,
Toallas baño,Ikea,D009,$70.00,Unidades,52121704,,paño para manos,,,,Si,,Servicio,365,,,,
Tazas,Amazón,D010,$434.00,Set,52152101,,utensilio,,,,Si,,Servicio,365,,,,
platos ,Ikea,D011,$800.00,Set,52152004,,utensilio,,,,Si,,Servicio,365,,,,
Servilletas,Varias,D012,$40.00,paquete,14111705,,toallas de papel,,,,Si,,Servicio,30,,,,
