Sucursal,Nombre del Producto,Clave de producto,Categoría ( linea) de producto,Precio Base de Venta,Unidad de medida,¿ Se vende en el punto de venta?,Clave de producto SAT,Código de barras,Descripción larga,Peso,Volumen,Días para entregarlo al cliente,método de abastecimiento,Precio promedio de compra,¿ En qué almacen se guarda el producto?,Seguimiento (Sin seguimiento/Lote/Serie,¿ Tiene fecha de caducidad?,Días antes de caducar,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Stock Optimo,Punto de reorden,Multiple de re-orden,Clave sat,Unidad de sat,1,2,3,4,5
,COLGANTE,4910 L/N,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$119.56,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,5026 L/N,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$116.58,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,5024 L/N,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$116.58,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,5028 L/N,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$116.58,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,5022 L/N,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$116.58,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,2916 L/1,2G,,Unidades,Si,,,PARED,,,,lo compramos,$24.46,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,2916 L/C,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$23.12,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,2916 L/3,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$56.95,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,2114 L/1,2G,,Unidades,Si,,,PARED,,,,lo compramos,$22.45,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,2114 L/C,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$22.61,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,2050 L/2,2G,,Unidades,Si,,,PARED,,,,lo compramos,$45.46,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,2050 L/C,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$27.17,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,4100 L/1,2G,,Unidades,Si,,,PARED,,,,lo compramos,$23.45,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4100 L/C,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$24.12,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,2030 L/AN,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$53.60,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,2030 L/N,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$50.25,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,5140 L/C,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$110.55,2G,,No,,,,Almacenable,,,,,,,,,,
,PLAFÓN,1101 L/P,2G,,Unidades,Si,,,PLAFÓN,,,,lo compramos,$33.50,2G,,No,,,,Almacenable,,,,,,,,,,
,PLAFÓN,1102 L/P,2G,,Unidades,Si,,,PLAFÓN,,,,lo compramos,$37.42,2G,,No,,,,Almacenable,,,,,,,,,,
,PLAFÓN,1103 L/P,2G,,Unidades,Si,,,PLAFÓN,,,,lo compramos,$36.08,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,1016 L/B,2G,,Unidades,Si,,,PARED,,,,lo compramos,$22.21,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,1014 L/B,2G,,Unidades,Si,,,PARED,,,,lo compramos,$18.06,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1406-C,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$22.65,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1406-5,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$106.97,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3029-C,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$22.68,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3029-3,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$62.75,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,1037-1,2G,,Unidades,Si,,,PARED,,,,lo compramos,$28.48,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1037-C,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$23.12,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1037-3,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$66.73,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3017 CO,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$29.88,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3017-3 CO,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$97.15,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4035 OL,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$54.94,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4035 CO,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$55.54,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4035 N,2G,,Unidades,Si,,,COLGANTE,,,,lo compramos,$44.22,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1270-C,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$27.87,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1270-3,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$66.23,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4580-1,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$20.67,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4580-3,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$61.41,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4550-1,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$20.67,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4550-3,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$58.96,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1210-C,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$34.17,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1210-3,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$89.68,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,6318 CO,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$44.12,2G,,No,,,,Almacenable,,,,,,,,,,
,SEMI-PLAFÓN,1105 L/P,2G,,Pza,Si,,,SEMI-PLAFÓN,,,,lo compramos,$66.00,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3030 OL,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$45.93,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,2116-C,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$48.37,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,2116-1,2G,,Pza,Si,,,PARED,,,,lo compramos,$56.95,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3830 CO,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$72.13,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,4320-1,2G,,Pza,Si,,,PARED,,,,lo compramos,$36.11,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4571 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$32.16,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4570 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$30.82,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4518 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$35.95,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3051 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$40.54,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,4590 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$42.75,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3045 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$100.47,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3518 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$43.05,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1220 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$31.32,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1245 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$32.83,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1235 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$31.83,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1225 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$32.83,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1421 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$66.67,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,6132 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$80.40,2G,,No,,,,Almacenable,,,,,,,,,,
,CANDIL,1264-5 N,2G,,Pza,Si,,,CANDIL,,,,lo compramos,$93.43,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3814 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$60.13,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3815 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$50.25,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3816 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$29.15,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3816 CO,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$34.84,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3110 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$89.68,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3280-3 B,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$50.85,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3460 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$50.59,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1025 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$38.19,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,6330 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$35.44,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,2218 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$44.15,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,1230 N,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$54.04,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,3650 CT,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$32.16,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,5010 CN,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$28.14,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,5010 SN,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$28.14,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,5010 CB,2G,,Pza,Si,,,COLGANTE,,,,lo compramos,$28.14,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,2811/1,2G,,Pza,Si,,,PARED,,,,lo compramos,$25.13,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,2811/2,2G,,Pza,Si,,,PARED,,,,lo compramos,$36.15,2G,,No,,,,Almacenable,,,,,,,,,,
,CANDIL,2811/3,2G,,Pza,Si,,,CANDIL,,,,lo compramos,$66.97,2G,,No,,,,Almacenable,,,,,,,,,,
,CANDIL,2811/5,2G,,Pza,Si,,,CANDIL,,,,lo compramos,$95.98,2G,,No,,,,Almacenable,,,,,,,,,,
,PARED,2829/1 NS,2G,,Pza,Si,,,PARED,,,,lo compramos,$25.23,2G,,No,,,,Almacenable,,,,,,,,,,
