TIPO DE SUCURSAL,NOMBRE DEL PRODUCTO,CLAVE DEL PRODUCTO,CATEGORIA (LINEA) DE PRODUCTO,UNIDAD DE MEDIDA (UNIDAD DE VENTA),¿SE VENDE EN EL PUNTO DE VENTA?,CODIGO DE BARRAS,DESCRIPCION LARGA,Peso ,Volumen ,DIAS PARA ENTREGARLO AL CLIENTE,METODO DE ABASTECIMIENTO,Seguimiento (Sin seguimiento/Lote/Serie,FECHA DE CADUCIDAD,DIAS ANTES DE CADUCAR,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Clave SAT ,Clave unidad SAT,DIAS DE GARANTIA,% COMISION VENDEDOR,% COMISION PARA REFERIDOS,Stock Optimo DE ESTE TIPO DE SUCURSAL,Punto de reorden DE ESTE TIPO DE SUCURSAL,Multiple de re-orden DE ESTE TIPO DE SUCURSAL,Precio del producto en este tipo de surcursal,Unidad de COMPRA,Costo promedio ,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuanto cuesta el producto en puntos?,TASA IVA,TASA IEPS,Almacen donde se ingresa automaticamente,Nombre del laboratorio,Nombre de la sustancia activa,NUMERO DE REGISTRO DE SENASICA,DEPARTAMENTO  ,TIPO DE CONTROL 
,MICROTUBO LITIO/HEPARINA 1.3 ML,ABAMTHEPARINA,ABAX,Unidades,Si,,MICROTUBO LITIO/HEPARINA 1.3 ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121602,H87,0,,,0,,,237.069,Unidades,16.369505,,,16,16,,ABAXIS,,,LABORATORIO,
,VETSCAN ROTOR CRITICAL CARE,ABAROTCRICAR7,ABAX,Unidades,Si,,VETSCAN ROTOR CRITICAL CARE,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42172017,H87,0,,,0,,,775.8621,Paquete de 12,0.000833,,,16,16,,ABAXIS,,,LABORATORIO,
,VETSCAN ROTOR EQUINE,ABAROTEQUI,ABAX,Unidades,Si,,VETSCAN ROTOR EQUINE,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,41116104,H87,0,,,0,,,775.8621,Paquete de 12,425,,,16,16,,ABAXIS,,,LABORATORIO,
,VETSCAN REAGENT HEMOGRAMA,ABAROTHG,ABAX,Unidades,Si,,VETSCAN REAGENT HEMOGRAMA,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42172017,H87,0,,,0,,,10991.3793,Unidades,10472.4155,,,16,16,,ABAXIS,,,LABORATORIO,
,VETSCAN ROTOR KIDNEY,ABAROTKID,ABAX,Unidades,Si,,VETSCAN ROTOR KIDNEY,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,41116104,H87,0,,,0,,,775.8621,Paquete de 12,312.393024,,,16,16,,ABAXIS,,,LABORATORIO,
,VETSCAN ROTOR MAMALIAN LIVER,ABAROTMAM,ABAX,Unidades,Si,,VETSCAN ROTOR MAMALIAN LIVER,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,41116104,H87,0,,,0,,,775.8621,Paquete de 12,368.185175,,,16,16,,ABAXIS,,,LABORATORIO,
,VETSCAN ROTOR COMPREHENSIVE (LILA),ABAROTQS12,ABAX,Unidades,Si,,VETSCAN ROTOR COMPREHENSIVE (LILA),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42172017,H87,0,,,0,,,775.8621,Paquete de 12,98.03526,,,16,16,,ABAXIS,,,LABORATORIO,
,VETSCAN ROTOR T4,ABAROTT4,ABAX,Unidades,Si,,VETSCAN ROTOR T4,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,41116104,H87,0,,,0,,,775.8621,Paquete de 12,2005.555556,,,16,16,,ABAXIS,,,MEDICAMENTOS,
,DUCK & PEAR 35G TREATS,ACADUCPEA35G,ACANA,Unidades,Si,64992711351,DUCK & PEAR 35G TREATS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121797,H87,0,,,0,,,136.2069,Unidades,80.694,,,16,16,,ACANA,,,ALIMENTOS,
,MACKEREL & GREENS 35G TREATS,ACAMARCKTRE35G,ACANA,Unidades,Si,64992713355,MACKEREL & GREENS 35G TREATS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,136.2069,Unidades,80.694,,,16,16,,ACANA,,,ALIMENTOS,
