Tipo de sucursal,Nombre del Producto,Clave de producto,Categoría ( linea) de producto,Precio Base de Venta,Unidad de medida,¿ Se vende en el punto de venta ( en Caja de mostrador)?,Código de barras,Descripción larga,Peso,Volumen,Días para entregarlo al cliente,método de abastecimiento,Costo promedio de compra en la moneda principal,Si tienen varios almacenes en la empresa: ¿ En qué almacen se guarda el producto?,Seguimiento (Sin seguimiento/Lote/Serie,¿ Tiene fecha de caducidad?,Días antes de caducar,Días a Consumir preferentemente,Días para quitar el producto,Tipo,Stock Optimo,Punto de reorden,Multiple de re-orden,Clave de producto SAT,Claves de Unidad SAT,Días de garantía,% Comisión para vendedor,% Comisión para referidos,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuántos puntos cuesta la compra de este producto/ servicio?,Unidad de COMPRA,TIPO DE CONTROL ,Nombre del laboratorio,Nombre de la sustancia activa,TASA IVA,TASA IEPS,NUMERO DE REGISTRO DE SENASICA,PRESENTACION,Factor entre unidades ,DEPARTAMENTO  ,unid conca
,MICROTUBO LITIO/HEPARINA 1.3 ML,ABAMTHEPARINA,ABAX,237.069,Unidades,SI ,,MICROTUBO LITIO/HEPARINA 1.3 ML,0,0,0,lo compramos,16.369505,,Sí,si,30,15,0,Almacenable,0,,,42121602,H87,0,,,,,CAJA,,ABAXIS,,16,,,,1,LABORATORIO,CAJA 1.000_Unidades
,VETSCAN ROTOR CRITICAL CARE,ABAROTCRICAR7,ABAX,775.8621,Unidades,SI ,,VETSCAN ROTOR CRITICAL CARE,0,0,0,lo compramos,0.000833,,Sí,si,30,15,0,Almacenable,0,,,42172017,H87,0,,,,,CAJA,,ABAXIS,,16,,,,12,LABORATORIO,CAJA 12.000_Unidades
,VETSCAN ROTOR EQUINE,ABAROTEQUI,ABAX,775.8621,Unidades,SI ,,VETSCAN ROTOR EQUINE,0,0,0,lo compramos,425,,Sí,si,30,15,0,Almacenable,0,,,41116104,H87,0,,,,,CAJA,,ABAXIS,,16,,,,12,LABORATORIO,CAJA 12.000_Unidades
,VETSCAN REAGENT HEMOGRAMA,ABAROTHG,ABAX,10991.3793,Unidades,SI ,,VETSCAN REAGENT HEMOGRAMA,0,0,0,lo compramos,10472.4155,,Sí,si,30,15,0,Almacenable,0,,,42172017,H87,0,,,,,Unidades,,ABAXIS,,16,,,,1,LABORATORIO,Unidades 1.000_Unidades
,VETSCAN ROTOR KIDNEY,ABAROTKID,ABAX,775.8621,Unidades,SI ,,VETSCAN ROTOR KIDNEY,0,0,0,lo compramos,312.393024,,Sí,si,30,15,0,Almacenable,0,,,41116104,H87,0,,,,,CAJA,,ABAXIS,,16,,,,12,LABORATORIO,CAJA 12.000_Unidades
,VETSCAN ROTOR MAMALIAN LIVER,ABAROTMAM,ABAX,775.8621,Unidades,SI ,,VETSCAN ROTOR MAMALIAN LIVER,0,0,0,lo compramos,368.185175,,Sí,si,30,15,0,Almacenable,0,,,41116104,H87,0,,,,,CAJA,,ABAXIS,,16,,,,12,LABORATORIO,CAJA 12.000_Unidades
,VETSCAN ROTOR COMPREHENSIVE (LILA),ABAROTQS12,ABAX,775.8621,Unidades,SI ,,VETSCAN ROTOR COMPREHENSIVE (LILA),0,0,0,lo compramos,98.03526,,Sí,si,30,15,0,Almacenable,0,,,42172017,H87,0,,,,,CAJA,,ABAXIS,,16,,,,12,LABORATORIO,CAJA 12.000_Unidades
,VETSCAN ROTOR T4,ABAROTT4,ABAX,775.8621,Unidades,SI ,,VETSCAN ROTOR T4,0,0,0,lo compramos,2005.555556,,Sí,si,30,15,0,Almacenable,0,,,41116104,H87,0,,,,,CAJA,,ABAXIS,,16,,,,12,MEDICAMENTOS,CAJA 12.000_Unidades
,DUCK & PEAR 35G TREATS,ACADUCPEA35G,ACANA,136.2069,Unidades,SI ,64992711351,DUCK & PEAR 35G TREATS,0,0,0,lo compramos,80.694,,Sí,si,30,15,0,Almacenable,0,,,10121797,H87,0,,,,,Unidades,,ACANA,,16,,,,1,ALIMENTOS,Unidades 1.000_Unidades
,MACKEREL & GREENS 35G TREATS,ACAMARCKTRE35G,ACANA,136.2069,Unidades,SI ,64992713355,MACKEREL & GREENS 35G TREATS,0,0,0,lo compramos,80.694,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,ACANA,,16,,,,1,ALIMENTOS,Unidades 1.000_Unidades
,MACKEREL & GREENS 92G TREATS,ACANMARCKTRE,ACANA,282.7586,Unidades,SI ,64992713904,MACKEREL & GREENS 92G TREATS,0,0,0,lo compramos,164.484,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,ACANA,,16,,,,1,ALIMENTOS,Unidades 1.000_Unidades
,SILBATO ADIESTRAMIENTO ACME SILENC. 535,ACMESILB535,ACME,732.7586,Unidades,SI ,717668115358,SILBATO ADIESTRAMIENTO ACME SILENC. 535,0,0,0,lo compramos,575.25,,No,No,0,0,0,Almacenable,0,,,60131105,H87,0,,,,,Unidades,,ACME,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
